Section,Item Name,"Suggested Filename (exact, case-sensitive)"
Site Photo,About Us section photo,about-photo.jpg
Site Photo,Project Gallery - Photo 1 (Full Home Rewiring),project-1.jpg
Site Photo,Project Gallery - Photo 2 (Switchboard Upgrade),project-2.jpg
Site Photo,Project Gallery - Photo 3 (CCTV Setup),project-3.jpg
Site Photo,Project Gallery - Photo 4 (Inverter & Battery Bank),project-4.jpg
Site Photo,Project Gallery - Photo 5 (Decorative Lighting),project-5.jpg
Site Photo,Project Gallery - Photo 6 (Retail Store Wiring),project-6.jpg
Shop Product,Carbon Film Resistors,carbon-film-resistors.jpg
Shop Product,Metal Film Resistors,metal-film-resistors.jpg
Shop Product,Wirewound Resistors,wirewound-resistors.jpg
Shop Product,Variable Resistors (Potentiometers),variable-resistors-potentiometers.jpg
Shop Product,Trimmer Potentiometers,trimmer-potentiometers.jpg
Shop Product,SMD Resistors,smd-resistors.jpg
Shop Product,Ceramic Capacitors,ceramic-capacitors.jpg
Shop Product,Electrolytic Capacitors,electrolytic-capacitors.jpg
Shop Product,Tantalum Capacitors,tantalum-capacitors.jpg
Shop Product,Polyester Film Capacitors,polyester-film-capacitors.jpg
Shop Product,Variable Capacitors,variable-capacitors.jpg
Shop Product,SMD Capacitors,smd-capacitors.jpg
Shop Product,Rectifier Diodes (1N4007),rectifier-diodes-1n4007.jpg
Shop Product,Zener Diodes,zener-diodes.jpg
Shop Product,Schottky Diodes,schottky-diodes.jpg
Shop Product,"LEDs (Red, Green, Blue, White, Yellow)",leds-red-green-blue-white-yellow.jpg
Shop Product,RGB LEDs,rgb-leds.jpg
Shop Product,High Watt Power LEDs,high-watt-power-leds.jpg
Shop Product,SMD LEDs,smd-leds.jpg
Shop Product,Choke Coils,choke-coils.jpg
Shop Product,Ferrite Beads,ferrite-beads.jpg
Shop Product,SMD Inductors,smd-inductors.jpg
Shop Product,"BJT Transistors (BC547, BC557, 2N2222, TIP122)",bjt-transistors-bc547-bc557-2n2222-tip122.jpg
Shop Product,"MOSFET Transistors (IRF540, IRFZ44N)",mosfet-transistors-irf540-irfz44n.jpg
Shop Product,Darlington Transistors,darlington-transistors.jpg
Shop Product,NE555 Timer IC,ne555-timer-ic.jpg
Shop Product,74HC Series Logic ICs,74hc-series-logic-ics.jpg
Shop Product,CD4000 Series Logic ICs,cd4000-series-logic-ics.jpg
